source_id,screen_id,name,source_type,requirement_refs,status,required_states,artifact_path,notes
"HASH-001","临床业务门户","clinical","EXPLICIT","FR-088;AC-088;SCR-069;FR-127;AC-127;GLOBAL-ROUTE-RULE","VERIFIED","default;loading;empty;partial;stale;offline;permission;session-expired;patient-switch;conflict;blocked;success;recovery","screens/clinical.png","临床工作域；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-002","登录、锁屏恢复与工作上下文","login-context","EXPLICIT","Prototype SPEC v0.13","VERIFIED","default;loading;empty;partial;stale;offline;permission;session-expired;patient-switch;conflict;blocked;success;recovery","screens/login-context.png","临床工作域；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-003","统一首页与任务中心","unified-home","EXPLICIT","Prototype SPEC v0.13","VERIFIED","default;loading;empty;partial;stale;offline;permission;session-expired;patient-switch;conflict;blocked;success;recovery","screens/unified-home.png","临床工作域；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-004","患者检索、匹配与登记","patient-registry","EXPLICIT","FR-004;AC-004;SCR-003;FR-006;AC-006","VERIFIED","default;loading;empty;partial;stale;offline;permission;session-expired;patient-switch;conflict;blocked;success;recovery","screens/patient-registry.png","临床工作域；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-005","重复患者合并与撤销","patient-merge","EXPLICIT","FR-005;AC-005;SCR-004","VERIFIED","default;loading;empty;partial;stale;offline;permission;session-expired;patient-switch;conflict;blocked;success;recovery","screens/patient-merge.png","临床工作域；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-006","患者临床时间线","patient-timeline","EXPLICIT","FR-007;AC-007;SCR-005;FR-037;AC-037","VERIFIED","default;loading;empty;partial;stale;offline;permission;session-expired;patient-switch;conflict;blocked;success;recovery","screens/patient-timeline.png","临床工作域；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-007","紧急访问与待核身份","emergency-access","EXPLICIT","FR-015;AC-015;SCR-006","VERIFIED","default;loading;empty;partial;stale;offline;permission;session-expired;patient-switch;conflict;blocked;success;recovery","screens/emergency-access.png","临床工作域；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-008","预约、挂号、分诊、叫号与留观","appointment-registration","EXPLICIT","FR-039;AC-039;SCR-011","VERIFIED","default;loading;empty;partial;stale;offline;permission;session-expired;patient-switch;conflict;blocked;success;recovery","screens/appointment-registration.png","临床工作域；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-009","入院、病区与床位管理","admission-bed","EXPLICIT","FR-021;AC-021;SCR-018","VERIFIED","default;loading;empty;partial;stale;offline;permission;session-expired;patient-switch;conflict;blocked;success;recovery","screens/admission-bed.png","临床工作域；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-010","门诊医生工作台","outpatient","EXPLICIT","FR-019;AC-019;SCR-012;FR-020;AC-020;FR-089;AC-089","VERIFIED","default;loading;empty;partial;stale;offline;permission;session-expired;patient-switch;conflict;blocked;success;recovery","screens/outpatient.png","临床工作域；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-011","门诊病历","opd-record","EXPLICIT","FR-128;AC-128;SCR-105","VERIFIED","default;loading;empty;partial;stale;offline;permission;session-expired;patient-switch;conflict;blocked;success;recovery","screens/opd-record.png","临床工作域；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-012","门诊诊断与问题清单","opd-diagnosis","EXPLICIT","FR-012;AC-012;SCR-015;FR-033;AC-033","VERIFIED","default;loading;empty;partial;stale;offline;permission;session-expired;patient-switch;conflict;blocked;success;recovery","screens/opd-diagnosis.png","临床工作域；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-013","门诊医嘱与处方","opd-orders","EXPLICIT","FR-013;AC-013;SCR-015;FR-034;AC-034","VERIFIED","default;loading;empty;partial;stale;offline;permission;session-expired;patient-switch;conflict;blocked;success;recovery","screens/opd-orders.png","临床工作域；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-014","门诊检查检验与结果","opd-results","EXPLICIT","FR-035;AC-035;SCR-016","VERIFIED","default;loading;empty;partial;stale;offline;permission;session-expired;patient-switch;conflict;blocked;success;recovery","screens/opd-results.png","临床工作域；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-015","门诊会诊、转诊与协同","opd-consult","EXPLICIT","Prototype SPEC v0.13","VERIFIED","default;loading;empty;partial;stale;offline;permission;session-expired;patient-switch;conflict;blocked;success;recovery","screens/opd-consult.png","临床工作域；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
