source_id,screen_id,name,source_type,requirement_refs,status,required_states,artifact_path,notes
"AOPT-FR-001","XN-001","桌面顶栏统一入口","EXPLICIT","AOPT-v0.2/FR-001;AC-001","CREATED","default;hover;focus;unread;disabled","workflow-integration.md","唯一永久入口；患者上下文变化可见"
"AOPT-FR-001","XN-002","安全空上下文面板","EXPLICIT","AOPT-v0.2/FR-001;BR-005","CREATED","empty;loading;permission;session-expired","states/xiaonan-task-states.png","仅产品帮助和功能导航"
"AOPT-FR-002","XN-003","诊疗环节任务条","INFERRED","AOPT-v0.2/FR-002;FR-032-036","CREATED","default;loading;empty;stale;permission","screens/xiaonan-workflow-side-panel.png","每页最多 3 个任务，不展示 Agent 海洋"
"AOPT-FR-002","XN-004","任务路由确认","EXPLICIT","AOPT-v0.2/FR-002;AC-002","CREATED","matching;clarify;ready;blocked","screens/xiaonan-workflow-side-panel.png","展示主 Agent、理由、范围和步骤"
"AOPT-FR-003","XN-005","流程内执行侧面板","EXPLICIT","AOPT-v0.2/FR-003;AC-003","CREATED","queued;running;slow;offline;cancelled","screens/xiaonan-workflow-side-panel.png","非模态；原业务页保持可操作"
"AOPT-FR-003","XN-006","执行计划与子任务详情","EXPLICIT","AOPT-v0.2/FR-027-031","CREATED","complete;running;pending;skipped;failed","screens/xiaonan-task-workspace.png","默认人类步骤名，技术详情折叠"
"AOPT-FR-003","XN-007","完整任务工作台","EXPLICIT","AOPT-v0.2/FR-003-006","CREATED","initial;running;partial;blocked;ready;expired","screens/xiaonan-task-workspace.png","8/4 主任务—执行计划布局"
"AOPT-FR-004","XN-008","来源与冲突审阅","EXPLICIT","AOPT-v0.2/FR-004;AC-004","CREATED","loading;available;unavailable;conflict;permission","workflow-integration.md","来源抽屉或全宽审阅，不长期占一栏"
"AOPT-FR-005","XN-009","文书候选差异审阅","EXPLICIT","AOPT-v0.2/FR-005;FR-008;AC-005;AC-008","CREATED","draft;partial;stale;conflict;accepted;rejected","workflow-integration.md","复制到人工草稿，不自动签署"
"AOPT-FR-019","XN-010","候选动作审批交接","EXPLICIT","AOPT-v0.2/FR-019;AC-019","CREATED","preview;approval;rejected;expired;executing;unknown;success","workflow-integration.md","进入现有独立审批页"
"AOPT-FR-006","XN-011","失败恢复与转人工","EXPLICIT","AOPT-v0.2/FR-006;AC-006","CREATED","timeout;offline;failed;reconciling;manual","states/xiaonan-task-states.png","保留已完成范围，不重复副作用"
"AOPT-FR-034","XN-012","部分完成与阻断","EXPLICIT","AOPT-v0.2/FR-031;AC-031","CREATED","partial;blocked;retry;manual","states/xiaonan-task-states.png","部分与完整成功不可混淆"
"AOPT-FR-020","XN-013","Agent/Skill/Tool 技术详情抽屉","EXPLICIT","AOPT-v0.2/FR-020-023","CREATED","collapsed;expanded;version-stale;dependency-disabled","workflow-integration.md","临床默认折叠，治理角色可展开"
"AOPT-FR-022","XN-014","运行历史与恢复","EXPLICIT","AOPT-v0.2/FR-022;NFR-014","CREATED","list;empty;loading;replay;non-resumable","workflow-integration.md","按 root run 聚合子运行"
"AOPT-FR-007","XN-015","就诊摘要主 Agent 结果模板","EXPLICIT","AOPT-v0.2/FR-007;FR-032","CREATED","complete;incomplete;no-evidence;conflict","workflow-integration.md","事实、变化、缺口、来源"
"AOPT-FR-008","XN-016","文书草拟主 Agent 结果模板","EXPLICIT","AOPT-v0.2/FR-008;FR-033","CREATED","draft;partial;source-missing;expired","screens/xiaonan-task-workspace.png","结构化文书、未决项、差异"
"AOPT-FR-009","XN-017","病历质控主 Agent 结果模板","EXPLICIT","AOPT-v0.2/FR-009;FR-034","CREATED","suggestion;warning;hard-rule;dismissed","workflow-integration.md","硬规则与 AI 建议分层"
"AOPT-FR-010","XN-018","结果闭环主 Agent 结果模板","EXPLICIT","AOPT-v0.2/FR-010;FR-035","CREATED","new;trend;critical-context;pending;corrected","workflow-integration.md","不替代危急值和处置状态"
"AOPT-FR-011","XN-019","诊疗协同主 Agent 结果模板","EXPLICIT","AOPT-v0.2/FR-011;FR-036","CREATED","brief;handoff;task-plan;approval;reconciliation","workflow-integration.md","责任、时限和接收状态明确"
"AOPT-FR-027","XN-020","子 Agent 协作团队与贡献追踪","EXPLICIT","AOPT-v0.2/FR-027-031;BR-033-035;NFR-014","CREATED","planned;running;handoff;complete;incomplete;no-evidence;blocked;failed;cancelled","screens/xiaonan-child-agent-collaboration.png","33 个候选均有中文角色；主 Agent 负责，核验环节不冒充子 Agent"
