fr,ac,scr,route,owner_domain,status
FR-001,AC-001,SCR-007,#admin-org,系统管理,VERIFIED
FR-002,AC-002,SCR-007,#admin-users,系统管理,VERIFIED
FR-003,AC-003,SCR-008,#admin-permissions,系统管理,VERIFIED
FR-004,AC-004,SCR-003,#patient-registry,临床工作域,VERIFIED
FR-005,AC-005,SCR-004,#patient-merge,临床工作域,VERIFIED
FR-006,AC-006,SCR-003,#patient-registry,临床工作域,VERIFIED
FR-007,AC-007,SCR-005,#patient-timeline,临床工作域,VERIFIED
FR-008,AC-008,SCR-009,#admin-dictionaries,系统管理,VERIFIED
FR-009,AC-009,SCR-013,#record-editor,病历中心,VERIFIED
FR-010,AC-010,SCR-014,#record-sign,病历中心,VERIFIED
FR-011,AC-011,SCR-014,#record-versions,病历中心,VERIFIED
FR-012,AC-012,SCR-015,#opd-diagnosis,门诊工作台,VERIFIED
FR-013,AC-013,SCR-015,#opd-orders,门诊工作台,VERIFIED
FR-014,AC-014,SCR-020,#ward,住院工作站,VERIFIED
FR-015,AC-015,SCR-006,#emergency-access,临床工作域,VERIFIED
FR-016,AC-016,SCR-032,#department-qc,医疗质量中心,VERIFIED
FR-017,AC-017,SCR-010,#admin-audit,系统管理,VERIFIED
FR-018,AC-018,SCR-033,#archive-assets,病案资产中心,VERIFIED
FR-019,AC-019,SCR-012,#outpatient,门诊工作台,VERIFIED
FR-020,AC-020,SCR-012,#outpatient,门诊工作台,VERIFIED
FR-021,AC-021,SCR-018,#admission-bed,临床工作域,VERIFIED
FR-022,AC-022,SCR-019,#inpatient,住院工作站,VERIFIED
FR-023,AC-023,SCR-036,#integration-messages,数据中心,VERIFIED
FR-024,AC-024,SCR-009,#admin-master-data,系统管理,VERIFIED
FR-025,AC-025,SCR-060,#install,系统管理,VERIFIED
FR-026,AC-026,SCR-061,#backup,系统管理,VERIFIED
FR-027,AC-027,SCR-064,#opensource,系统管理,VERIFIED
FR-028,AC-028,SCR-063,#release-gates,系统管理,VERIFIED
FR-029,AC-029,SCR-064,#opensource,系统管理,VERIFIED
FR-030,AC-030,SCR-059,#aiops,AI中心,VERIFIED
FR-031,AC-031,SCR-017,#ai-assistant,AI中心,VERIFIED
FR-032,AC-032,SCR-013,#record-editor,病历中心,VERIFIED
FR-033,AC-033,SCR-015,#opd-diagnosis,门诊工作台,VERIFIED
FR-034,AC-034,SCR-015,#opd-orders,门诊工作台,VERIFIED
FR-035,AC-035,SCR-016,#opd-results,门诊工作台,VERIFIED
FR-036,AC-036,SCR-032,#department-qc,医疗质量中心,VERIFIED
FR-037,AC-037,SCR-005,#patient-timeline,临床工作域,VERIFIED
FR-038,AC-038,SCR-037,#migration,数据中心,VERIFIED
FR-039,AC-039,SCR-011,#appointment-registration,临床工作域,VERIFIED
FR-040,AC-040,SCR-022,#billing,医疗协同中心,VERIFIED
FR-041,AC-041,SCR-023,#outpatient-pharmacy,医疗协同中心,VERIFIED
FR-042,AC-042,SCR-024,#inpatient-pharmacy,医疗协同中心,VERIFIED
FR-043,AC-043,SCR-025,#lab-workbench,医疗协同中心,VERIFIED
FR-044,AC-044,SCR-026,#imaging-workbench,医疗协同中心,VERIFIED
FR-045,AC-045,SCR-027,#therapy-workbench,医疗协同中心,VERIFIED
FR-046,AC-046,SCR-028,#surgery-schedule,医疗协同中心,VERIFIED
FR-047,AC-047,SCR-029,#anesthesia-workbench,医疗协同中心,VERIFIED
FR-048,AC-048,SCR-030,#device-monitoring,医疗协同中心,VERIFIED
FR-049,AC-049,SCR-031,#transfusion,医疗协同中心,VERIFIED
FR-050,AC-050,SCR-020,#ward,住院工作站,VERIFIED
FR-051,AC-051,SCR-021,#clinical-tasks,业务协同,VERIFIED
FR-052,AC-052,SCR-035,#infection-events,医疗质量中心,VERIFIED
FR-053,AC-053,SCR-014,#record-sign,病历中心,VERIFIED
FR-054,AC-054,SCR-038,#data-quality,数据中心,VERIFIED
FR-055,AC-055,SCR-034,#quality-rating,医疗质量中心,VERIFIED
FR-056,AC-056,SCR-043,#rule-center,业务配置,VERIFIED
FR-057,AC-057,SCR-062,#operations,系统管理,VERIFIED
FR-058,AC-058,SCR-062,#operations,系统管理,VERIFIED
FR-059,AC-059,SCR-039,#devices,数据中心,VERIFIED
FR-060,AC-060,SCR-013,#record-editor,病历中心,VERIFIED
FR-061,AC-061,SCR-032,#department-qc,医疗质量中心,VERIFIED
FR-062,AC-062,SCR-040,#capability-pack,业务配置,VERIFIED
FR-063,AC-063,SCR-041,#workflow,业务配置,VERIFIED
FR-064,AC-064,SCR-042,#form-designer,业务配置,VERIFIED
FR-065,AC-065,SCR-043,#rule-center,业务配置,VERIFIED
FR-066,AC-066,SCR-044,#scope-designer,业务配置,VERIFIED
FR-067,AC-067,SCR-045,#integration-mapping,数据中心,VERIFIED
FR-068,AC-068,SCR-046,#config-release,业务配置,VERIFIED
FR-069,AC-069,SCR-047,#config-upgrade,业务配置,VERIFIED
FR-070,AC-070,SCR-048,#models,AI中心,VERIFIED
FR-071,AC-071,SCR-049,#model-connection,AI中心,VERIFIED
FR-072,AC-072,SCR-050,#model-routing,AI中心,VERIFIED
FR-073,AC-073,SCR-051,#model-evaluation,AI中心,VERIFIED
FR-074,AC-074,SCR-052,#agent-catalog,AI中心,VERIFIED
FR-075,AC-075,SCR-053,#agent,AI中心,VERIFIED
FR-076,AC-076,SCR-054,#agent-context,AI中心,VERIFIED
FR-077,AC-077,SCR-055,#tool-catalog,AI中心,VERIFIED
FR-078,AC-078,SCR-056,#skill-catalog,AI中心,VERIFIED
FR-079,AC-079,SCR-057,#agent-compose,AI中心,VERIFIED
FR-080,AC-080,SCR-058,#agent-evals,AI中心,VERIFIED
FR-081,AC-081,SCR-059,#aiops,AI中心,VERIFIED
FR-082,AC-082,SCR-065,#inpatient,住院工作站,VERIFIED
FR-083,AC-083,SCR-066,#inpatient-overview,住院工作站,VERIFIED
FR-084,AC-084,SCR-067,#inpatient-course,住院工作站,VERIFIED
FR-085,AC-085,SCR-067,#inpatient-doc-editor,住院工作站,VERIFIED
FR-086,AC-086,SCR-067,#inpatient-doc-qc,住院工作站,VERIFIED
FR-087,AC-087,SCR-068,#inpatient-discharge,住院工作站,VERIFIED
FR-088,AC-088,SCR-069,#clinical,临床工作域,VERIFIED
FR-089,AC-089,SCR-012,#outpatient,门诊工作台,VERIFIED
FR-090,AC-090,SCR-065,#inpatient,住院工作站,VERIFIED
FR-091,AC-091,SCR-070,#emergency,急诊工作台,VERIFIED
FR-092,AC-092,SCR-071,#clinical-tasks,业务协同,VERIFIED
FR-093,AC-093,SCR-073,#specialty-coverage,业务配置,VERIFIED
FR-094,AC-094,SCR-072,#archive-assets,病案资产中心,VERIFIED
FR-095,AC-095,SCR-071,#clinical-tasks,业务协同,VERIFIED
FR-096,AC-096,SCR-073,#credentials,医疗质量中心,VERIFIED
FR-097,AC-097,SCR-073,#credentials,医疗质量中心,VERIFIED
FR-098,AC-098,SCR-074,#record,病历中心,VERIFIED
FR-099,AC-099,SCR-075,#record-editor,病历中心,VERIFIED
FR-100,AC-100,SCR-076/077,#record-sources,病历中心,VERIFIED
FR-101,AC-101,SCR-078,#record-versions,病历中心,VERIFIED
FR-102,AC-102,SCR-081/082,#integration,数据中心,VERIFIED
FR-103,AC-103,SCR-079/080,#lis-report,病历中心,VERIFIED
FR-104,AC-104,SCR-083/084,#integration-messages,数据中心,VERIFIED
FR-105,AC-105,SCR-085-087,#archive-catalog,病案资产中心,VERIFIED
FR-106,AC-106,SCR-088/089,#cohort-builder,数据中心,VERIFIED
FR-107,AC-107,SCR-090,#research-dataset,数据中心,VERIFIED
FR-108,AC-108,SCR-091,#admin,系统管理,VERIFIED
FR-109,AC-109,SCR-092,#admin-org,系统管理,VERIFIED
FR-110,AC-110,SCR-093,#admin-users,系统管理,VERIFIED
FR-111,AC-111,SCR-094,#admin-roles,系统管理,VERIFIED
FR-112,AC-112,SCR-095,#admin-permissions,系统管理,VERIFIED
FR-113,AC-113,SCR-096,#admin-auth,系统管理,VERIFIED
FR-114,AC-114,SCR-097,#admin-dictionaries,系统管理,VERIFIED
