layer,default_choice,responsibility,why
产品覆盖边界,诊所到三级医院的统一产品内核,同一代码主线支持诊所独立部署和医院集成部署,不按机构等级复制多套产品
临床业务内核,自主设计与实现,组织科室人员权限患者就诊文书诊断医嘱处方签名版本审计,沉淀核心医疗软件能力并保持代码与演进主权
门诊参考应用,自主设计与实现,预约挂号接诊病历诊断医嘱处方结果签署和患者时间线,为诊所独立使用及医院门诊集成提供完整参考
住院基础模块,自主设计与实现,入院病区床位住院病历医嘱执行护理出院,从数据模型和模块边界上支持一二三级医院演进
医院增强模块,自主设计与实现并渐进交付,高级质控专科模板复杂权限高可用和院级数据交换,避免首版承诺三级医院全部功能但不排除医院目标
扩展与集成层,自研插件体系和适配器SDK,连接HIS LIS PACS医保支付电子签名设备及区域平台,医院优先集成既有系统而非重做所有外围系统
医疗互操作,采用公开标准并自研实现适配,支持HL7 FHIR DICOM及国内数据交换规范,使用标准不等于采用现有开源EMR作为底座
数据治理,自研医疗数据契约加成熟通用基础设施,患者主索引长期留存版本审计备份恢复脱敏与授权,病历可信和数据自主从第一天进入内核
开发者体验,公开仓库加安装器演示数据API文档和中英文资料,让外部开发者可以下载运行理解修改和贡献,GitHub收藏和有效下载是一级结果指标
通用基础设施,允许使用成熟数据库缓存对象存储队列框架和容器,承载非差异化工程能力,从零自研医疗业务系统不等于重造数据库和密码学
详细技术选型,由S004 HLD确定,确定语言框架服务边界部署拓扑和非功能方案,战略阶段不提前锁死实现细节
