requirement,official_basis,product_implication,mvp_priority,source_url
病历不可任意覆盖且修改可追溯,电子病历应用管理规范（试行）,采用版本追加而非原地覆盖；记录作者时间修改原因和前后差异,P0,https://www.nhc.gov.cn/wjw/c100175/201702/90f3de8ae03d488cbddf509dc958f75b.shtml
门急诊病历至少保存15年,医疗机构病历管理规定（2013年版）,对象存储和数据库同时设计长期归档校验迁移与可读性；不得把短期SaaS保留策略当默认,P0,https://www.nhc.gov.cn/yzygj/c100068/201312/c9955f0471c04450a9f9ab74648fbdd4.shtml
同一患者唯一标识,医疗机构病历管理规定（2013年版）,建立机构内MPI和合并拆分机制；身份证和手机号不能直接等同唯一主键,P0,https://www.nhc.gov.cn/yzygj/c100068/201312/c9955f0471c04450a9f9ab74648fbdd4.shtml
可靠电子签名和病历封存,电子病历应用管理规范与电子签名法,签署后锁定版本；支持可信时间身份校验封存复制件和证据导出,P0,https://www.npc.gov.cn/zgrdw/npc/xinwen/2019-05/07/content_2086835.htm
医疗健康信息属于敏感个人信息,个人信息保护法第28条,最小必要采集；细粒度授权；访问审计；必要时单独同意和影响评估,P0,https://www.npc.gov.cn/npc/c2/c30834/202108/t20210820_313088.html
加密备份访问控制安全认证与事件处置,网络数据安全管理条例第9至11条,默认境内部署；传输和存储加密；可恢复备份；安全事件预案和通知流程,P0,https://app.www.gov.cn/govdata/gov/202409/30/520076/article.html
处方与病历一致且医生药师职责分离,处方管理办法,处方版本与病历诊断联动；医生开具药师审核发药核对；受控药品另设规则,P0,https://www.nhc.gov.cn/wjw/c100221/202201/6a4ee53e4a3a407fbd9f520e1e2662c5.shtml
全国医保业务编码与地方结算接口,医保办发〔2020〕51号及动态维护库,内置诊断药品耗材服务项目编码映射；医保连接器按省市插件化,P1,https://www.nhsa.gov.cn/art/2020/11/27/art_104_6508.html
患者查阅复制更正等权利,病历管理规定和网络数据安全管理条例,提供可审计导出复制申请身份核验和更正/补充流程；删除请求受法定留存约束,P1,https://app.www.gov.cn/govdata/gov/202409/30/520076/article.html
第三方委托处理与跨境受控,网络数据安全管理条例,供应商合同记录至少保存3年；默认禁止把真实病历发往境外分析服务；跨境单独评估,P0,https://app.www.gov.cn/govdata/gov/202409/30/520076/article.html
