screen_id,asset_id,usage,required,notes
"clinical","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"login-context","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"unified-home","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"patient-registry","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"patient-merge","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"patient-timeline","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"emergency-access","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"appointment-registration","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"admission-bed","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"outpatient","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"opd-record","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"opd-diagnosis","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"opd-orders","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"opd-results","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"opd-consult","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"opd-followup","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"emergency","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"er-triage","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"er-record","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"er-nursing","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"er-observation","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"er-handoff","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"inpatient","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
