task_id,title,requirement_refs,depends_on,parallel_group,risk,owner_skill,status
DEC-001,决定首条试点诊疗环节,AOPT-Q-010,,D0,HIGH,haonan-s002-prd,PLANNED
DEC-002,33个候选子能力R0分类,AOPT-Q-009|FR-027,,D0,HIGH,haonan-s006-review,PLANNED
DEC-003,模型路由数据驻留与降级决策,AOPT-Q-003|NFR-005,,D0,CRITICAL,haonan-s010-safety,PLANNED
DEC-004,root-child预算轨迹保留与SLA决策,AOPT-Q-005|Q-007|NFR-012,,D0,HIGH,haonan-s004-hld,PLANNED
DEC-005,首个真实T3领域适配器决策,AOPT-Q-006|FR-019,,D0,CRITICAL,haonan-s006-review,PLANNED
DEC-006,跨主Agent子能力复用ADR,AOPT-FR-027|LLD-ADR-MAH-004,,D0,HIGH,haonan-s006-review,PLANNED
PLT-001,契约与运行语义基线,AOPT-FR-027..031|NFR-009|NFR-013,,P0,HIGH,haonan-s008-coder,PLANNED
PLT-002,不可变Release与目录持久化,AOPT-FR-012..017|FR-027|FR-028,PLT-001,P1,HIGH,haonan-s008-coder,PLANNED
PLT-003,Run-Trajectory-ParentChild持久化,AOPT-FR-002|FR-003|FR-021|FR-022|FR-029|FR-030,PLT-001,P1,CRITICAL,haonan-s008-coder,PLANNED
PLT-004,分层预算与消耗帐本,AOPT-FR-020|FR-029|NFR-012|NFR-014,PLT-001|DEC-004,P1,HIGH,haonan-s008-coder,PLANNED
PLT-005,Harness-SPI与LegacySingleShotLoop,AOPT-NFR-011|NFR-013|LLD-Phase-0,PLT-002|PLT-003|PLT-004,P2,CRITICAL,haonan-s008-coder,PLANNED
PLT-006,Scoped-Context与Capability-Lifecycle,AOPT-BR-002|BR-007|BR-026..033|NFR-005,PLT-005,P3,CRITICAL,haonan-s008-coder,PLANNED
PLT-007,Tool-Gateway-Risk-Tier与NoProgress,AOPT-FR-018..020|RISK-014..018,PLT-005|PLT-006,P4,CRITICAL,haonan-s008-coder,PLANNED
PLT-008,ModelAdapter-PromptAssembly与降级,AOPT-FR-015|FR-016|FR-020|FR-024,PLT-005|PLT-006|DEC-003,P4,HIGH,haonan-s008-coder,PLANNED
PLT-009,Composition-Resolver与声明式DAG,AOPT-FR-027..031|LLD-ADR-MAH-003,PLT-002|PLT-005|PLT-006|PLT-007|DEC-006,P5,CRITICAL,haonan-s008-coder,PLANNED
PLT-010,Child-Runtime取消降级与恢复,AOPT-FR-003|FR-029|FR-030,PLT-003|PLT-004|PLT-009,P6,CRITICAL,haonan-s008-coder,PLANNED
PLT-011,Verification-Pipeline与Proposal-Guard,AOPT-FR-004..011|FR-019,PLT-006|PLT-007|PLT-010,P7,CRITICAL,haonan-s008-coder,PLANNED
PLT-012,Telemetry-SSE-Replay与保留,AOPT-FR-021..023|FR-030,PLT-003|PLT-010|PLT-011|DEC-004,P8,HIGH,haonan-s008-coder,PLANNED
PLT-013,Agent-Child-Composition-Eval基建,AOPT-FR-023|FR-024|FR-027|FR-031,PLT-001|PLT-011|PLT-012,P9,CRITICAL,haonan-s009-test,PLANNED
PLT-014,UI数据契约与33子Agent目录,AOPT-FR-001|FR-005|FR-030|FR-031,PLT-001|PLT-002|PLT-012,P9,HIGH,haonan-s008-coder,PLANNED
MAIN-ENC-001,ENCOUNTER_SUMMARIZER主Agent基座,AOPT-FR-007|FR-032,PLT-008|PLT-009|PLT-010|PLT-011|PLT-012|PLT-013|PLT-014,M0,HIGH,haonan-s008-coder,PLANNED
MAIN-DOC-001,DOCUMENT_DRAFTER主Agent基座,AOPT-FR-008|FR-033,PLT-008|PLT-009|PLT-010|PLT-011|PLT-012|PLT-013|PLT-014,M0,CRITICAL,haonan-s008-coder,PLANNED
MAIN-QC-001,RECORD_QC主Agent基座,AOPT-FR-009|FR-034,PLT-008|PLT-009|PLT-010|PLT-011|PLT-012|PLT-013|PLT-014,M0,CRITICAL,haonan-s008-coder,PLANNED
MAIN-RES-001,RESULT_FOLLOWUP_COORDINATOR主Agent基座,AOPT-FR-010|FR-035,PLT-008|PLT-009|PLT-010|PLT-011|PLT-012|PLT-013|PLT-014,M0,CRITICAL,haonan-s008-coder,PLANNED
MAIN-CARE-001,CARE_COORDINATOR主Agent基座,AOPT-FR-011|FR-036,PLT-008|PLT-009|PLT-010|PLT-011|PLT-012|PLT-013|PLT-014,M0,HIGH,haonan-s008-coder,PLANNED
CH-ENC-01,PRE_VISIT_SUMMARIZER,AOPT-FR-032|AC-032,DEC-002|PLT-013|MAIN-ENC-001,C-ENC,HIGH,haonan-s008-coder,PLANNED
CH-ENC-02,TRIAGE_CONTEXT_SUMMARIZER,AOPT-FR-032|AC-032,DEC-002|PLT-013|MAIN-ENC-001,C-ENC,CRITICAL,haonan-s008-coder,PLANNED
CH-ENC-03,ACTIVE_ENCOUNTER_SUMMARIZER,AOPT-FR-032|AC-032,DEC-002|PLT-013|MAIN-ENC-001,C-ENC,HIGH,haonan-s008-coder,PLANNED
CH-ENC-04,INPATIENT_DAILY_SUMMARIZER,AOPT-FR-032|AC-032,DEC-002|PLT-013|MAIN-ENC-001,C-ENC,CRITICAL,haonan-s008-coder,PLANNED
CH-ENC-05,PERIOPERATIVE_CONTEXT_SUMMARIZER,AOPT-FR-032|AC-032,DEC-002|PLT-013|MAIN-ENC-001,C-ENC,CRITICAL,haonan-s008-coder,PLANNED
CH-ENC-06,DISCHARGE_READINESS_SUMMARIZER,AOPT-FR-032|AC-032,DEC-002|PLT-013|MAIN-ENC-001,C-ENC,CRITICAL,haonan-s008-coder,PLANNED
